draw_idx,number,freq_short,freq_medium,freq_long,freq_all,freq_trend,gap_since_last,recency_weighted,pair_score,triplet_score,adjacent_flag,is_odd,is_low,target
105,3,2,3,9,20,0.020000000000000018,2,2.736500436482356,6,0,1,1,1,0
105,4,4,8,12,26,0.16000000000000003,1,4.829052418360169,2,0,1,0,1,1
105,5,2,3,8,19,0.04000000000000001,1,2.741681575013564,2,0,1,1,1,0
105,6,2,5,8,17,0.04000000000000001,2,3.1999046022718023,6,0,1,0,1,0
105,7,1,2,12,26,-0.13999999999999999,7,2.31582669967105,4,0,0,1,0,0
105,8,1,3,9,18,-0.07999999999999999,6,1.8941602938286812,7,0,0,0,0,0
105,9,1,4,14,27,-0.18000000000000002,5,3.400982443921857,6,0,0,1,0,1
105,10,3,4,9,26,0.12,3,3.4940160621381087,7,0,0,0,0,0
105,11,0,0,0,0,0.0,105,0.0,0,0,0,1,0,0
105,12,0,0,0,0,0.0,105,0.0,0,0,0,0,0,0
106,1,1,4,11,14,-0.12,6,2.6272329068188904,2,0,0,1,1,0
106,2,1,4,8,17,-0.06,9,2.2550532178073066,6,0,0,0,1,0
106,3,2,3,9,20,0.020000000000000018,3,2.553245188592912,3,0,1,1,1,0
106,4,5,8,12,27,0.26,1,5.5056652241906425,4,0,0,0,1,0
106,5,2,3,8,19,0.04000000000000001,2,2.5580793617762514,5,0,1,1,1,1
106,6,2,4,8,17,0.04000000000000001,3,2.9856165636900576,6,0,0,0,1,0
106,7,1,2,12,26,-0.13999999999999999,8,2.1607427134748916,7,0,0,1,0,0
106,8,1,3,8,18,-0.06,7,1.7673140454012126,7,0,1,0,0,0
106,9,2,5,15,28,-0.09999999999999998,1,4.173228823816572,4,0,0,1,0,0
106,10,3,4,9,26,0.12,4,3.260032258934375,11,0,1,0,0,1
106,11,0,0,0,0,0.0,106,0.0,0,0,0,1,0,0
106,12,0,0,0,0,0.0,106,0.0,0,0,0,0,0,0
107,1,1,4,11,14,-0.12,7,2.4512949785131717,2,0,0,1,1,0
107,2,1,4,7,17,-0.04000000000000001,10,2.104039049885455,5,0,0,0,1,0
107,3,2,2,8,20,0.04000000000000001,4,2.3822619964398046,5,0,0,1,1,0
107,4,4,8,12,27,0.16000000000000003,2,5.136967294526762,6,0,1,0,1,0
107,5,3,4,9,20,0.12,1,3.3867724395066627,4,0,0,1,1,0
107,6,2,4,8,17,0.04000000000000001,4,2.7856787540015775,4,0,1,0,1,0
107,7,1,2,12,26,-0.13999999999999999,9,2.0160442378948367,5,0,0,1,0,1
107,8,1,3,8,18,-0.06,8,1.6489623107657105,2,0,0,0,0,0
107,9,2,5,15,28,-0.09999999999999998,2,3.8937601738532086,10,0,1,1,0,1
107,10,3,4,10,27,0.09999999999999998,1,4.041717651060036,4,0,0,0,0,0
107,11,0,0,0,0,0.0,107,0.0,0,0,1,1,0,0
107,12,0,0,0,0,0.0,107,0.0,0,0,0,0,0,0
108,1,1,3,11,14,-0.12,8,2.2871390869412984,5,0,0,1,1,0
108,2,0,4,7,17,-0.14,11,1.963137849024888,6,0,0,0,1,0
108,3,2,2,8,20,0.04000000000000001,5,2.222729037162678,3,0,0,1,1,1
108,4,3,8,11,27,0.07999999999999999,3,4.7929599622390455,6,0,0,0,1,1
108,5,3,3,8,20,0.13999999999999999,2,3.1599704208873125,5,0,0,1,1,0
108,6,2,4,8,17,0.04000000000000001,5,2.599130181306618,4,0,1,0,1,0
108,7,2,3,13,27,-0.06,1,2.8810357863535625,6,0,0,1,0,0
108,8,1,3,8,18,-0.06,9,1.5385362377451777,5,0,1,0,0,0
108,9,3,6,16,29,-0.020000000000000018,1,4.633006703337139,6,0,0,1,0,0
108,10,3,4,10,27,0.09999999999999998,2,3.771055910915664,10,0,1,0,0,0
